question,answer
How do I remember checks?,Set a daily phone reminder to look at water and leaves.
Can I use tap water with chlorine?,Let it sit overnight or use a small carbon filter.
What if the water smells?,Change water clean parts keep light out and use fresh plant food.
How do I start seeds easily?,Wet a small sponge add a seed keep warm and lightly covered.
Can I plant store‑bought herb cuttings?,Yes—trim bottom leaves put in sponge keep moist until roots show.
How do I avoid waste?,Harvest often share extra and mix only the water you need.
Can I grow in a shared room?,Yes—keep tidy quiet pump and label the bucket.
What if I drop tools in the tank?,Remove rinse and replace water if dirty; keep a spare spoon.
How do I keep track of progress?,Take weekly photos and jot simple notes like “added water.”
Can I taste a leaf early?,Yes—pick one or two; do not strip all the big leaves at once.
How do I ask shops to buy my greens?,Bring a clean sample price list and promise a regular day for delivery.
What if bugs keep coming back?,Clean area remove sick leaves and try netting on windows and doors.
Can I grow spicy peppers as a beginner?,Start with mild peppers; they need supports and more space than lettuce.
What if I have only one plug socket?,Use a small power strip with surge protection and tidy cables.
Can I decorate the bucket?,Yes—stickers or paint outside; keep inside clean and food‑safe.
How do I know water is too hot?,If the tank feels warm to the hand add shade or cool water bottles.
Can I start today without buying anything?,Try a jar Kratky with clean jar sponge water and a few seeds.
Can I grow without electricity?,Yes—use Kratky (no pumps). Keep water covered and place in bright light.
What if my water is very hard?,Start with rainwater or mix half rainwater and half tap; keep light out.
Can I grow in very hot places?,Yes—add shade in midday move lights to night and cool the water.
How loud is a normal setup?,About like a small fan; placing pumps on foam makes it quieter.
Do I need to stir the water?,Gently mix when you add plant food; otherwise let the bubbles circulate it.
Can I reuse the same water forever?,No—change it every 1–2 weeks to keep plants healthy and fresh.
What if I overfill the tank?,Leaves may get wet; remove some water and keep the lid above the water line.
Can I keep the system by a window?,Yes—avoid hot sun at midday and keep the tank shaded from light.
Is it okay if roots are brown?,Light tea color is fine; slimy smelly roots mean you should clean and refresh.
Can I grow in a small hostel room?,Yes—one bucket and a small light is enough; keep it tidy and quiet.
What if I forget a day?,Plants usually forgive a day; add water and check leaves the next morning.
How do I make it look neat?,Use a dark bucket short tidy tubes and a label for the plant names.
Can I gift starter kits?,Yes—include a small guide: add water add food place in bright light.
What if I spill plant food?,Wipe with water wash hands and keep bottles closed and out of reach of kids.
What plant food for lettuce?,Balanced veg nutrients; EC 1.2–1.8 mS/cm; pH 5.8–6.2; add calcium for tip burn control.
What plant food for spinach?,Veg formula; EC 1.6–2.2; pH 5.8–6.2; ensure iron availability with correct pH.
What plant food for kale or sukuma wiki?,Nitrogen forward veg mix; EC 1.6–2.2; pH 5.8–6.2; steady calcium and magnesium.
What plant food for basil?,N 3‑1‑2 style; EC 1.4–1.8; pH 5.8–6.2; add Cal‑Mag lightly.
What plant food for mint?,Balanced veg mix; EC 1.2–1.8; pH 5.8–6.2; prune often to keep flavor.
What plant food for cilantro?,Mild veg mix; EC 1.2–1.6; pH 5.8–6.2; keep cooler to avoid bolting.
What plant food for tomatoes?,Veg stage EC 1.8–2.5; fruiting EC 2.5–3.5; pH 5.8–6.2; increase potassium and calcium.
What plant food for cucumbers?,EC 1.8–2.4; pH 5.8–6.2; higher potassium and magnesium during fruiting; strong calcium support.
What plant food for peppers?,EC 2.0–3.0; pH 5.8–6.2; boost potassium in bloom and fruit; maintain calcium to prevent rot.
What plant food for eggplant?,EC 2.0–2.8; pH 5.8–6.2; balanced K; steady calcium and magnesium.
What plant food for strawberries?,EC 1.2–2.0; pH 5.6–6.0; moderate nitrogen; good potassium; calcium for firmness.
What plant food for amaranth leaves?,EC 1.4–1.8; pH 5.8–6.2; balanced veg mix; harvest young.
What plant food for cowpea leaves (ugu)?,EC 1.4–1.8; pH 5.8–6.2; gentle nitrogen; maintain calcium and magnesium.
What plant food for African nightshade?,EC 1.4–1.8; pH 5.8–6.2; balanced mix; ensure iron availability.
What plant food for spider plant vegetable?,EC 1.4–1.8; pH 5.8–6.2; balanced veg nutrients; frequent light harvests.
What plant food for okra?,EC 1.8–2.4; pH 5.8–6.2; higher potassium; warm conditions help uptake.
What plant food for cabbage?,EC 1.8–2.4; pH 5.8–6.2; steady calcium; avoid excessive nitrogen late.
What plant food for pak choi or bok choy?,EC 1.4–2.0; pH 5.8–6.2; gentle nitrogen; watch for tip burn.
What plant food for microgreens?,Very mild solution; EC 0.4–0.8; pH 5.8–6.2; many can grow on water only.
What does Nitrogen (N) do for plants?,Drives leafy growth and green color; too much can make weak soft leaves.
What does Phosphorus (P) do?,Helps roots and early growth; too high can block micronutrient uptake.
What does Potassium (K) do?,Supports strong stems flowering and fruit quality; balances water movement in plants.
Why is Calcium (Ca) important?,Builds cell walls and prevents tip burn and blossom end rot; moves with steady transpiration.
Why is Magnesium (Mg) important?,Central to chlorophyll and photosynthesis; yellowing between veins suggests low Mg.
What NPK is best for lettuce?,Gentle veg ratio like 3‑1‑2 or 2‑1‑2; add Ca for tip burn prevention; steady Mg for color.
What NPK for spinach?,Balanced veg 3‑1‑2; ensure iron availability; keep Ca/Mg steady for strong leaves.
What NPK for kale/sukuma wiki?,3‑1‑2 during veg; avoid very high N late; maintain Ca/Mg for leaf strength.
What NPK for basil?,3‑1‑2 early; can shift slightly higher N for bushy growth; maintain Ca/Mg for flavor and structure.
What NPK for tomatoes?,Veg: 3‑1‑2; Bloom/Fruit: 2‑1‑3 or 1‑1‑2 with higher K; high Ca prevents blossom end rot; Mg supports photosynthesis.
What NPK for cucumbers?,Veg/Bloom: around 2‑1‑3 emphasizing K; steady Ca for fruit shape; Mg for leaf health.
What NPK for peppers?,Veg: 3‑1‑2; Bloom/Fruit: 2‑1‑3; strong Ca prevents blossom end rot and improves firmness; Mg keeps leaves green.
What NPK for eggplant?,Veg: 3‑1‑2; Fruit: 2‑1‑3; support with Ca/Mg for skin firmness and leaf health.
What NPK for strawberries?,Low‑moderate N; around 2‑1‑3 during flowering/fruit; Ca for firmness; Mg for color.
What NPK for pak choi/bok choy?,Gentle 2‑1‑2 to 3‑1‑2; adequate Ca to reduce tip burn; Mg for green leaves.
What NPK for amaranth leaves?,2‑1‑2 to 3‑1‑2; avoid excessive N late; maintain Ca/Mg balance.
What NPK for cowpea leaves (ugu)?,2‑1‑2; moderate N for tender leaves; steady Ca/Mg for texture.
How do I add Calcium safely?,Use Cal‑Mag or calcium nitrate; add separately from phosphates; never mix concentrates together.
How do I add Magnesium?,Use Cal‑Mag or Epsom salt (magnesium sulfate) lightly; dissolve fully before adding to the tank.
How do I know if I need more Ca or Mg?,Tip burn or blossom end rot suggests Ca; interveinal yellowing suggests Mg; keep pH 5.8–6.2.
